"BehaviorSpace results (NetLogo 5.1.0)"
"Simulator.nlogo"
"smaller-netowork-1"
"06/10/2015 14:39:00:137 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","the-random-seed","random-seed?","[step]","[breed] of user","[turns] of user","[turn-payoff] of user","[score] of user"
"6","50","false","42","{breed random-profiles}","7","-1","-7"
"6","50","false","43","{breed attack-profiles}","9","3","45"
"6","50","false","44","{breed random-profiles}","8","-3","-10"
"6","50","false","45","{breed random-profiles}","16","-1","-10"
"6","50","false","46","{breed attack-profiles}","10","3","48"
"6","50","false","47","{breed attack-profiles}","11","0","48"
"6","50","false","48","{breed attack-profiles}","14","6","48"
"6","50","false","49","{breed random-profiles}","9","-3","-13"
"6","50","false","50","{breed attack-profiles}","12","2","50"
"7","50","false","0","{breed random-profiles}","1","1","1"
"7","50","false","1","{breed attack-profiles}","1","0","0"
"7","50","false","2","{breed random-profiles}","2","1","2"
"7","50","false","3","{breed attack-profiles}","1","2","2"
"7","50","false","4","{breed attack-profiles}","2","0","2"
"7","50","false","5","{breed attack-profiles}","2","2","2"
"7","50","false","6","{breed attack-profiles}","3","0","2"
"7","50","false","7","{breed attack-profiles}","3","0","2"
"7","50","false","8","{breed random-profiles}","1","3","3"
"7","50","false","9","{breed random-profiles}","2","1","4"
"7","50","false","10","{breed random-profiles}","3","3","7"
"7","50","false","11","{breed attack-profiles}","4","2","4"
"7","50","false","12","{breed random-profiles}","4","1","8"
"7","50","false","13","{breed attack-profiles}","4","4","6"
"7","50","false","14","{breed random-profiles}","3","1","3"
"7","50","false","15","{breed attack-profiles}","5","2","6"
"7","50","false","16","{breed random-profiles}","4","-1","2"
"7","50","false","17","{breed attack-profiles}","6","3","9"
"7","50","false","18","{breed attack-profiles}","7","0","9"
"7","50","false","19","{breed random-profiles}","5","-1","7"
"7","50","false","20","{breed random-profiles}","5","-3","-1"
"7","50","false","21","{breed random-profiles}","6","-1","-2"
"7","50","false","22","{breed attack-profiles}","8","8","17"
"7","50","false","23","{breed random-profiles}","7","-3","-5"
"7","50","false","24","{breed attack-profiles}","9","2","19"
"7","50","false","25","{breed attack-profiles}","10","0","19"
"7","50","false","26","{breed attack-profiles}","11","0","19"
"7","50","false","27","{breed random-profiles}","6","-5","2"
"7","50","false","28","{breed attack-profiles}","5","22","28"
"7","50","false","29","{breed random-profiles}","8","1","-4"
"7","50","false","30","{breed attack-profiles}","12","5","24"
"7","50","false","31","{breed attack-profiles}","6","2","30"
"7","50","false","32","{breed attack-profiles}","7","0","30"
"7","50","false","33","{breed attack-profiles}","13","0","24"
"7","50","false","34","{breed attack-profiles}","8","0","30"
"7","50","false","35","{breed random-profiles}","7","1","3"
"7","50","false","36","{breed random-profiles}","8","-5","-2"
"7","50","false","37","{breed attack-profiles}","9","5","35"
"7","50","false","38","{breed attack-profiles}","10","0","35"
"7","50","false","39","{breed attack-profiles}","11","0","35"
"7","50","false","40","{breed attack-profiles}","14","5","29"
"7","50","false","41","{breed random-profiles}","9","-5","-7"
"7","50","false","42","{breed attack-profiles}","15","3","32"
"7","50","false","43","{breed random-profiles}","9","-1","-5"
"7","50","false","44","{breed attack-profiles}","16","3","35"
"7","50","false","45","{breed random-profiles}","10","-5","-12"
"7","50","false","46","{breed random-profiles}","11","-1","-13"
"7","50","false","47","{breed attack-profiles}","12","14","49"
"7","50","false","48","{breed random-profiles}","10","-1","-6"
"7","50","false","49","{breed random-profiles}","12","1","-12"
"7","50","false","50","{breed attack-profiles}","17","11","46"
"8","50","false","0","{breed attack-profiles}","1","0","0"
"8","50","false","1","{breed random-profiles}","1","1","1"
"8","50","false","2","{breed random-profiles}","1","1","1"
"8","50","false","3","{breed attack-profiles}","2","2","2"
"8","50","false","4","{breed random-profiles}","2","1","2"
"8","50","false","5","{breed random-profiles}","3","1","3"
"8","50","false","6","{breed random-profiles}","4","-1","2"
"8","50","false","7","{breed random-profiles}","5","1","3"
"8","50","false","8","{breed attack-profiles}","1","11","11"
"8","50","false","9","{breed attack-profiles}","2","0","11"
